acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,type
-0.044469413,-0.733071835,9.626249084,0.065877249,-0.099513959,0.037062433,0.000000563,14.73590156,-10.54277397,3
-0.305138723,-0.158789366,9.842641091,0.043818024,-0.043141374,0.012683106,-2.93E-08,14.74210571,-10.53409469,3
-0.197054205,-0.462985491,9.339544457,0.02557217,0.000743759,-0.00537656,0.000000567,14.73820092,-10.27171386,3
0.799595543,-0.381067483,9.047455144,0.012999547,0.024759367,-0.013784142,0.000000191,14.74577174,-10.26084089,3
1.082366361,-0.430835604,9.789181966,0.005863505,0.029720533,-0.014347739,0.000000259,14.64653152,-10.05835594,3
0.294849576,-0.131362059,10.20291232,0.003257139,0.023321003,-0.01304541,-0.000000376,14.65341995,-10.04831585,3
-0.547377852,0.507816965,9.927313285,0.004776066,0.015226125,-0.016103634,-0.000000085,14.77870565,-9.809915313,3
-0.868670928,0.171291301,9.118958393,0.009744242,0.011906152,-0.025676941,-0.000000129,14.78050379,-9.807203633,3
-0.64035546,0.028260279,9.56868917,0.015734834,0.014428791,-0.038316047,-0.00000037,14.83676057,-9.677787152,3
-0.48734181,-0.842689247,9.645268797,-0.042187878,0.050894106,-0.008660834,0.000000563,14.73590156,-10.54277397,4
-0.25071497,-0.785942769,10.07524056,-0.020421119,0.030058,0.022801351,-2.93E-08,14.74210571,-10.53409469,4
0.024656876,-0.772893749,9.965499133,0.067855521,-0.044254576,-0.006819464,0.000000567,14.73820092,-10.27171386,4
-0.148728849,-0.613767135,9.594318227,0.047752076,-0.122508045,-0.037185575,0.000000191,14.74577174,-10.26084089,4
-0.61569245,-0.568995164,9.483601654,0.059946646,-0.093277758,-0.062931324,0.000000259,14.64653152,-10.05835594,4
-0.573233217,-0.354948786,9.32802812,-0.100806295,0.017786685,-0.046248093,-0.000000376,14.65341995,-10.04831585,4
-0.552862071,-0.378285747,9.640758061,-0.084734846,0.075291229,-0.022289007,-0.000000085,14.77870565,-9.809915313,4
-0.316155382,-0.414120025,9.710265216,-0.036956357,0.021400616,0.030911324,-0.000000129,14.78050379,-9.807203633,4
0.016781364,-0.252408227,9.595861809,-0.006203861,-0.00363933,-0.005373003,-0.00000037,14.83676057,-9.677787152,4
-0.59749086,1.854075106,9.352042149,-0.085648678,0.116277169,-0.070228294,-0.000000121,15.40702539,-10.00832295,2
0.15978614,1.515484845,9.365671884,-0.012259916,0.149365966,0.027895901,0.000000583,15.32131301,-9.885060351,2
1.149413313,1.693496293,9.108273491,0.145536391,-0.02780325,-0.055353677,-0.000000524,15.31914525,-9.888419505,2
0.825478053,1.291125312,9.263596757,0.07324068,-0.095208796,-0.095936584,-0.000000126,14.86611503,-9.640540482,2
-0.126494176,1.576778116,9.686362242,-0.059339645,-0.084985747,-0.161509322,-0.000000503,14.85814604,-9.652818694,2
-0.678991987,2.00832471,9.701949436,-0.038483716,0.029729397,-0.100484313,0.000000115,14.91371634,-9.638943314,2
-0.278355069,1.963809743,9.551428864,-0.047696117,0.084387935,0.033811029,-0.000000257,14.91671342,-9.634302929,2
0.357307171,1.528480962,9.397674003,0.003317047,0.121926549,0.001702776,-0.000000453,15.0149726,-9.23689103,2
1.112266551,1.414530409,9.156246632,-0.041509969,0.022448878,-0.074405068,-0.000000345,15.01193601,-9.241822456,1
-0.50741858,-0.718916195,10.21492144,0.012288431,0.094642994,-0.107566381,0.000000928,42.32186651,-6.256895219,1
0.276993783,-0.463685924,10.32870038,0.034257254,0.105248195,-0.053790645,-5.22E-08,42.31864374,-6.278638531,1
0.529677333,-1.573788063,8.676315622,-0.111218064,0.035947332,-0.001821701,-0.000000497,42.52306028,-6.291440666,1
0.072260828,0.700975926,8.73069954,0.043018545,-0.143156962,0.114302393,-0.000000195,42.52230654,-6.29652521,1
-1.057937456,-0.344188806,9.55019478,0.226425828,-0.07767848,0.053791163,0.00000047,42.34804493,-5.983900647,1
-0.93471255,-1.088120939,10.38451511,0.033034265,0.062489399,-0.098094771,0.000000199,42.34698783,-5.991359803,1
-0.326974553,-1.755063068,9.694048561,-0.189729514,0.14660511,-0.06425117,-0.000000384,42.25040192,-5.949447525,1
0.401375015,-0.736439073,9.10841965,-0.109814084,0.011428298,-0.042906148,-0.000000389,42.2460473,-5.980297326,1
-0.095170224,-0.745423406,9.037054223,0.142786291,-0.114780517,0.092363623,-0.000000383,42.24214026,-5.936190547,1
0.068730006,-0.15103303,9.680596843,-0.0092019,0.009704753,-0.001323056,-1.20E-08,40.62739848,-7.148835664,0
-0.03563953,0.088521871,9.708076036,-0.009609902,-0.022101901,0.00239951,-6.33E-07,40.78165214,-7.459619992,0
-0.075969029,0.010103666,9.621793944,0.018855321,0.012808825,-0.004715275,-2.58E-07,40.78154604,-7.460182386,0
-0.013879277,0.001805026,9.736607949,0.012750831,-0.009803103,-0.004839597,-8.68E-07,40.95773828,-7.568867073,0
-0.030778344,-0.074656157,9.728064519,7.73E-04,0.026913501,-0.005507606,-2.30E-07,40.95719166,-7.571835261,0
-5.41E-04,-0.031905003,9.655729743,-0.014982654,-0.004840402,-0.005451507,2.60E-07,41.08167462,-7.667373043,0
0.047658477,0.102795117,9.613039871,-0.005448473,0.01991038,0.002293389,-1.56E-07,41.08307956,-7.659819357,0
0.147770909,0.107271622,9.555510265,-0.003846087,-0.01822709,0.01266781,-4.34E-09,41.18560086,-7.572851199,0
-0.020624309,0.054238817,9.66525411,0.007429621,-0.001692412,0.010865831,-1.41E-08,41.18395255,-7.5818055,0
